,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,State,ZipCode,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,YearsENERGYSTARCertified,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
0,325,2015,NonResidential,Retail Store,WESTLAKE MALL RETAIL PORTION,400 PINE ST,WA,98101,DOWNTOWN,47.61171108,-122.33681575,,,,,,1989.0,1.0,4.0,111077.0,0.0,111077.0,,,,91.0,60.6,190.2,9898724.0,0.0,9899135.0,0.0,69.01,0.24
1,400,2015,NonResidential,Small- and Mid-Sized Office,GALLAND & SENECA BUILDINGS,1201 2ND AVE,WA,98101,DOWNTOWN,47.60679898,-122.3371001,Office,Office,,,,1906.0,1.0,6.0,98370.0,25920.0,72450.0,98370.0,,,45.0,66.3,207.5,6525887.0,0.0,6488262.0,37893.0,47.24,0.2
2,442,2015,NonResidential,Large Office,KING BROADCASTING,333 DEXTER AVE N,WA,98109,LAKE UNION,47.6214758,-122.3430502,"Data Center, Office, Other, Parking, Restaurant",Office,Parking,Other,,1947.0,1.0,4.0,193788.0,37854.0,155934.0,138672.0,47539.0,11166.0,59.0,105.8,332.3,16760217.0,0.0,16760914.0,0.0,116.84,0.23
3,499,2015,NonResidential,Small- and Mid-Sized Office,ASIAN COUNSELING and REFERRAL SERVICE BUILDING,3639 MARTIN LUTHER KING JR WAY S,WA,98144,GREATER DUWAMISH,47.57089656,-122.2974118,"Office, Parking",Office,Parking,,,2008.0,1.0,3.0,76598.0,21410.0,55188.0,55188.0,21410.0,,76.0,81.1,169.8,4476997.0,0.0,2234200.0,2242889.0,134.69,1.63
4,559,2015,NonResidential,Large Office,YALE & THOMAS,325 EASTLAKE AVE E,WA,98109,LAKE UNION,47.6212428,-122.3297865,"Office, Parking",Office,Parking,,,1981.0,1.0,4.0,186971.0,0.0,186971.0,186977.0,115477.0,,86.0,67.7,179.1,12662456.0,0.0,9657951.0,3004906.0,226.92,0.99
5,560,2015,NonResidential,Non-Refrigerated Warehouse,EVERGREEN WHLSLE FLORIST (DEMOLISHED),1255 HARRISON ST,WA,98109,LAKE UNION,47.62145274,-122.3311285,,,,,,1955.0,1.0,1.0,66968.0,0.0,66968.0,,,,1.0,23.5,73.8,1575581.0,0.0,1573323.0,2323.0,11.09,0.06
6,675,2015,NonResidential,Medical Office,NINTH & JEFFERSON BLDG - HARBORVIEW,908 JEFFERSON ST,WA,98104,EAST,47.60395194,-122.3240621,"Medical Office, Parking",Medical Office,Parking,,2011,2008.0,1.0,15.0,434475.0,250000.0,184475.0,434475.0,250000.0,,60.0,126.7,302.0,55030192.0,21474092.0,33557492.0,0.0,1891.47,4.02
7,714,2015,NonResidential,Large Office,MARITIME BUILDING,911 WESTERN AVE,WA,98104,DOWNTOWN,47.60373017,-122.3373671,"Office, Parking",Office,Parking,,,1911.0,1.0,5.0,192960.0,32160.0,160800.0,135173.0,32000.0,,95.0,49.3,111.2,6669954.0,3054035.0,3616068.0,0.0,260.94,1.27
8,790,2015,NonResidential,Other,PROLOGIS SEATTLE 10 (ROSS DISPLAY),3417 1ST AVE S,WA,98134,GREATER DUWAMISH,47.57289218,-122.3350363,,,,,,1969.0,1.0,1.0,54171.0,0.0,54171.0,,,,,21.0,35.6,1008645.0,0.0,314113.0,694545.0,39.08,0.7
9,838,2015,NonResidential,Medical Office,NORTHWEST MEDICAL CENTER,1001 BROADWAY,WA,98122,EAST,47.61142131,-122.3213375,"Medical Office, Office, Other",Medical Office,Office,Other,,1928.0,1.0,3.0,83448.0,15479.0,67969.0,42527.0,27961.0,529.0,54.0,93.9,176.9,6668456.0,0.0,2661094.0,4007472.0,231.39,2.64
11,19658,2015,NonResidential,Small- and Mid-Sized Office,DENNY CENTER,1100 VIRGINIA ST,WA,98101,DOWNTOWN,47.61832601,-122.33341322,Office,Office,,,,1937.0,1.0,2.0,28568.0,0.0,28568.0,28568.0,,,86.0,29.4,81.3,841242.0,0.0,688567.0,152704.0,12.91,0.35
12,19780,2015,NonResidential,Other,AURORA CHRYSLER PLYMOUTH,13733 AURORA AVE N,WA,98133,NORTHWEST,47.72969445,-122.34543246,Other,Other,,,,1968.0,1.0,1.0,21633.0,0.0,21633.0,10400.0,,,,605.1,1080.2,6293359.0,0.0,2213351.0,4080100.0,232.12,10.29
13,21237,2015,NonResidential,Retail Store,STAPLES,13240 AURORA AVE N,WA,98133,NORTHWEST,47.72569066,-122.3432661,"Parking, Retail Store",Retail Store,Parking,,,2001.0,1.0,1.0,23696.0,0.0,23696.0,23829.0,0.0,,81.0,58.4,135.1,1392153.0,0.0,841501.0,550686.0,35.11,1.33
14,21471,2015,NonResidential,Other,EITEL BUILDING (2ND AND PIKE BUILDING),1501 2ND AVE,WA,98101,DOWNTOWN,47.60940552,-122.33934021,"Other, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store",Other,Retail Store,"Personal Services (Health/Beauty, Dry Cleaning, etc)",,1904.0,1.0,7.0,44928.0,0.0,44928.0,38706.0,2660.0,2600.0,,9.2,27.4,413919.0,0.0,380478.0,33457.0,4.43,0.06
